param windPowerS: 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
1	500.1860347	451.7442567	519.9349802	529.7963922	450.43202	624.6870574	522.8363261	530.0748972	618.5061147	516.1529284	473.9699808	499.2586266	395.105448	505.4097191	554.562931	452.8706789	535.9867738	723.7290376	458.4837028	581.1832171	405.6918525	572.4532999	528.1374704	509.1412945	531.8522138	489.287191	482.5213378	527.3070144	569.0897369	546.2988018
2	542.0779817	521.9000649	490.8220306	522.3335157	570.5853196	472.0560604	532.8483784	700.8654938	717.9028602	575.6153855	732.2924097	470.3183942	518.283418	453.5811796	676.235007	741.8111688	591.7553422	606.6271507	588.469086	535.6417487	394.8410349	489.520815	525.5546557	526.0395818	547.650092	586.971035	576.7859869	609.2175049	416.3821838	494.402059
3	563.6289501	605.7247323	573.2045222	576.9965007	599.6148459	578.7244859	576.7214023	659.5011156	530.3955883	677.0147536	381.0645999	565.577656	689.0795902	584.1071649	557.0243661	689.2951007	578.7597342	757.2552044	621.9053061	465.3461838	626.850686	510.671944	600.3018462	611.8026089	522.8012646	518.1993577	582.2638691	503.2436747	467.041943	507.8856787
4	577.2298675	634.7733069	599.9538776	636.9448549	531.5971246	590.8404543	535.4769173	516.6098409	447.7169816	537.9315157	707.1297853	637.7274737	702.9528071	644.155871	732.3626594	443.7786069	528.5380879	673.0040043	605.1801457	661.9148565	703.9450814	498.8930289	556.6384787	535.2472113	626.7589827	575.4940758	564.0665846	474.2291235	630.1656003	545.6994606
5	590.1095821	634.5574254	647.5353118	435.343395	635.0609848	588.2853452	602.6697808	545.4330933	759.8475368	456.2754596	673.3747006	659.0602293	627.6712234	608.1720105	450.6636123	574.5678119	700.3443162	670.7816893	591.2949461	627.9545273	463.2903053	624.8669409	642.4357505	643.7510432	554.4737762	540.8381027	624.8552343	619.311792	745.0236933	639.7979514
6	621.401631	741.2442316	677.5209687	455.2769228	705.4082206	611.1477049	679.3007518	745.2617252	555.7932107	883.327225	696.3074308	538.4474833	806.4497125	624.6303213	762.7265565	748.6781637	616.4658453	1000.436241	538.5517794	544.0354132	588.0564002	597.669894	657.7941389	670.4075117	615.7106588	656.9149722	592.1342956	749.6064314	613.7601546	592.7882785
7	641.6549439	653.373419	602.6698918	797.6690538	695.0262231	649.9275514	695.0709877	475.0003525	345.0714544	944.1692117	432.3985545	711.1214239	752.5557905	709.4355393	678.3548134	635.7447279	578.6282415	1032.576057	584.8982445	761.94013	772.8821218	729.915989	654.5524711	596.9201892	615.495211	589.888739	587.949371	666.1560449	564.7335963	633.6381763
8	656.4337411	689.4283772	687.9553282	485.4734328	714.0401866	703.23741	645.8980475	485.5293498	1036.415028	871.7757258	789.3030825	678.93196	416.421642	568.100264	657.6876052	671.6441079	598.4238733	1087.348849	724.4075564	702.1244676	555.3845343	617.5086355	616.5421813	675.6367903	673.9347553	702.5747793	629.0951225	735.6583535	582.2952371	650.2375249
9	623.3236493	566.703194	581.6811309	697.8604244	658.1576328	621.2520631	613.3855946	784.3661591	408.1991659	924.6804361	823.5269765	676.4806669	598.8913519	692.3884579	768.3369229	616.4555967	533.5695271	452.5199052	550.6332507	643.9053635	794.1684031	576.816301	633.4166422	581.1967324	605.975568	666.6237185	603.1806154	490.7503899	767.4239755	631.8097412
10	605.6625892	635.6217268	549.7361256	575.2389085	615.7722175	632.4673259	532.8499913	658.557202	842.2351377	947.2654771	371.1220124	663.3054554	540.9586831	613.7101651	681.9368906	714.8303859	626.6324731	689.8922459	616.5975881	726.2990772	713.4328448	534.0670817	591.3104406	603.346028	586.4064618	624.4331239	579.3440212	532.268975	736.8930341	639.0405676
